model_seed,arm,source_kind,joint_family_size,n_sequences,per_stream_bytes,shared_bytes,total_bytes_N1,total_bytes_N16,total_bytes_N128,rmst_tokens,supported_grid_T05,empirical_grid_T05
2,MIXED_6_8,original,630,512,2744,30031,32775,73935,381263,239.3515625,64,128
2,MIXED_6_8_TOP1,supplement,630,512,2408,30031,32439,68559,338255,233.392578125,64,128
2,MIXED_6_8_TOP4,supplement,630,512,2552,30031,32583,70863,356687,238.98828125,64,128
2,NATIVE_FP32,original,630,512,12296,29410,41706,226146,1603298,239.865234375,64,128
2,STOCHASTIC_4,original,630,512,1608,29678,31286,55406,235502,104.244140625,32,64
2,UNIFORM_10,original,630,512,3896,29627,33523,91963,528315,239.646484375,64,128
2,UNIFORM_11,original,630,512,4280,29627,33907,98107,577467,239.728515625,64,128
2,UNIFORM_12,original,630,512,4664,29627,34291,104251,626619,239.83203125,64,128
2,UNIFORM_13,original,630,512,5048,29627,34675,110395,675771,239.998046875,64,128
2,UNIFORM_14,original,630,512,5432,29627,35059,116539,724923,240.02734375,64,128
2,UNIFORM_15,original,630,512,5816,29627,35443,122683,774075,239.990234375,64,128
2,UNIFORM_16,original,630,512,6200,29627,35827,128827,823227,239.990234375,64,128
2,UNIFORM_2,original,630,512,824,29626,30450,42810,135098,11.212890625,,
2,UNIFORM_3,original,630,512,1208,29626,30834,48954,184250,84.41796875,32,32
2,UNIFORM_4,original,630,512,1592,29626,31218,55098,233402,185.5078125,64,64
2,UNIFORM_5,original,630,512,1976,29626,31602,61242,282554,226.484375,64,128
2,UNIFORM_6,original,630,512,2360,29626,31986,67386,331706,235.453125,64,128
2,UNIFORM_7,original,630,512,2744,29626,32370,73530,380858,236.35546875,64,128
2,UNIFORM_8,original,630,512,3128,29626,32754,79674,430010,239.6171875,64,128
2,UNIFORM_9,original,630,512,3512,29626,33138,85818,479162,239.994140625,64,128
2,UNTRANSPORTED_4_4,original,630,512,3176,29936,33112,80752,436464,110.998046875,32,64
