model_seed,N_streams,candidate,baseline,candidate_total_bytes,baseline_total_bytes,rmst_delta_tokens,pointwise_ci95_low,pointwise_ci95_high,paired_sequences,bootstrap_repeats,bootstrap_seed,rng_substream,scope
1,16,FULL_RESIDUAL_4_8,UNIFORM_9,105326,85818,-1.1875,-2.947265625,0.7075683593749922,512,5000,41001,"SeedSequence([41001,1])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
1,128,FULL_RESIDUAL_4_8,UNIFORM_9,633070,479162,-1.1875,-2.947265625,0.7075683593749922,512,5000,41001,"SeedSequence([41001,1])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
1,1,FULL_RESIDUAL_4_FP32,UNIFORM_9,43598,33138,-1.41796875,-3.148486328125,0.4024414062499986,512,5000,41001,"SeedSequence([41001,1])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
1,16,FULL_RESIDUAL_4_FP32,UNIFORM_9,251798,85818,-1.41796875,-3.148486328125,0.4024414062499986,512,5000,41001,"SeedSequence([41001,1])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
1,128,FULL_RESIDUAL_4_FP32,UNIFORM_9,1806358,479162,-1.41796875,-3.148486328125,0.4024414062499986,512,5000,41001,"SeedSequence([41001,1])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
1,1,LOWRANK_4_8_R1,UNIFORM_7,32539,32370,-92.201171875,-105.037109375,-79.728466796875,512,5000,41001,"SeedSequence([41001,1])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
1,16,LOWRANK_4_8_R1,MIXED_4_8_TOP2,60019,58575,-6.68359375,-15.42041015625,2.0568847656249964,512,5000,41001,"SeedSequence([41001,1])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
1,128,LOWRANK_4_8_R1,MIXED_4_8_TOP2,265203,258383,-6.68359375,-15.42041015625,2.0568847656249964,512,5000,41001,"SeedSequence([41001,1])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
1,1,LOWRANK_4_8_R2,UNIFORM_9,33499,33138,-54.2578125,-66.03642578125,-42.716064453125014,512,5000,41001,"SeedSequence([41001,1])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
1,16,LOWRANK_4_8_R2,MIXED_4_8_TOP5,63859,63183,1.09375,-6.8729003906249995,9.070703124999994,512,5000,41001,"SeedSequence([41001,1])",post-hoc reused-TEST selected comparator; pointwise conditional CI; no multiplicity or selection correction
