model_seed,arm,group_position,metric,N,active_N,before_first_failure_N,at_or_after_first_failure_N,valid_N,mean,median,minimum,maximum
0,UNIFORM_8,128,residual_norm,32,32,32,0,32,0.0,0.0,0.0,0.0
0,UNIFORM_8,128,native_state_norm,32,32,32,0,32,1340.7897535312188,1342.5264864307337,1120.6377605058806,1545.94361977141
0,UNIFORM_8,128,fp64_shadow_state_norm,32,32,32,0,32,1340.7897416148594,1342.5265002864448,1120.6377585923672,1545.9436090767683
0,UNIFORM_8,128,state_scale_minimum,32,32,32,0,32,2.995672684846795e-05,2.619034694362199e-05,1.7961625417228788e-05,5.260956095298752e-05
0,UNIFORM_8,128,state_scale_maximum,32,32,32,0,32,220.1067228317261,211.6849594116211,139.93821716308594,356.8993225097656
0,UNIFORM_8,128,residual_scale_minimum,32,32,32,0,0,,,,
0,UNIFORM_8,128,residual_scale_maximum,32,32,32,0,0,,,,
0,UNIFORM_8,128,self_writeback_mse,32,32,32,0,32,0.04539146300422806,0.04491296935941186,0.0239418263396754,0.07464744569649413
0,UNIFORM_8,128,projection_leakage_mse,32,32,32,0,32,0.0,0.0,0.0,0.0
0,UNIFORM_8,128,native_state_error_l2,32,32,32,0,32,99.2363968012575,99.35705842415527,85.79842361846211,112.92201191210789
0,UNIFORM_8,128,native_state_error_mse,32,32,32,0,32,3.2199824063481466,3.2135025558099106,2.3962791326214443,4.150840095793696
0,UNIFORM_8,128,fp64_shadow_error_l2,32,32,32,0,32,99.23639540944788,99.35704703720721,85.79842514751675,112.92201383721248
0,UNIFORM_8,128,fp64_shadow_error_mse,32,32,32,0,32,3.2199823138373316,3.2135018199298253,2.3962792180319124,4.1508402373214865
0,UNIFORM_8,128,gold_margin,32,32,32,0,32,55.499428391456604,54.32513236999512,35.437254905700684,75.78545761108398
0,UNIFORM_8,128,top_two_margin,32,32,32,0,32,55.499428391456604,54.32513236999512,35.437254905700684,75.78545761108398
0,UNIFORM_8,512,state_norm,32,32,2,30,32,2355.2330731411867,2364.225117368566,2130.5742610876246,2572.666611074253
0,UNIFORM_8,512,residual_norm,32,32,2,30,32,0.0,0.0,0.0,0.0
0,UNIFORM_8,512,native_state_norm,32,32,2,30,32,2329.6587712861233,2345.1746159019744,2117.446058274274,2556.584364323196
0,UNIFORM_8,512,fp64_shadow_state_norm,32,32,2,30,32,2329.6587970594574,2345.1746684826976,2117.4461943085635,2556.584311147727
0,UNIFORM_8,512,state_scale_minimum,32,32,2,30,32,8.571009470870194e-05,8.215645721065812e-05,6.98101575835608e-05,0.00012797692033927888
0,UNIFORM_8,512,state_scale_maximum,32,32,2,30,32,403.24495506286627,395.80120849609375,288.1149597167969,533.4503784179688
0,UNIFORM_8,512,residual_scale_minimum,32,32,2,30,0,,,,
0,UNIFORM_8,512,residual_scale_maximum,32,32,2,30,0,,,,
0,UNIFORM_8,512,self_writeback_mse,32,32,2,30,32,0.1271904448433246,0.12288685953024484,0.07609881772174873,0.21251838082200655
0,UNIFORM_8,512,projection_leakage_mse,32,32,2,30,32,0.0,0.0,0.0,0.0
0,UNIFORM_8,512,native_state_error_l2,32,32,2,30,32,338.86762799298697,334.08634958831215,293.7695714638057,393.45397931102167
0,UNIFORM_8,512,native_state_error_mse,32,32,2,30,32,37.572413559515674,36.33267024076186,28.092630572274746,50.39258913921806
0,UNIFORM_8,512,fp64_shadow_error_l2,32,32,2,30,32,338.86764007780874,334.08637196721634,293.76952244186566,393.4539139524716
0,UNIFORM_8,512,fp64_shadow_error_mse,32,32,2,30,32,37.57241628549246,36.332675115602896,28.092621196524032,50.39257239730435
0,UNIFORM_8,512,gold_margin,32,32,2,30,32,11.650070654315641,20.76374739408493,-95.2129955291748,68.3121395111084
0,UNIFORM_8,512,top_two_margin,32,32,2,30,32,31.87256441815407,30.48465919494629,0.8441085815429688,68.3121395111084
0,UNIFORM_8,2048,state_norm,32,32,0,32,32,4406.823648057738,4302.967998604636,3988.5034018947367,5043.337022266735
0,UNIFORM_8,2048,residual_norm,32,32,0,32,32,0.0,0.0,0.0,0.0
0,UNIFORM_8,2048,native_state_norm,32,32,0,32,32,4231.570306020816,4143.7405657052805,3858.873432744674,4931.244167193293
0,UNIFORM_8,2048,fp64_shadow_state_norm,32,32,0,32,32,4231.570907120142,4143.741172426098,3858.8739731821165,4931.24454722839
0,UNIFORM_8,2048,state_scale_minimum,32,32,0,32,32,0.0003212729388906155,0.0003217632183805108,0.00029446554253809154,0.0003437607956584543
0,UNIFORM_8,2048,state_scale_maximum,32,32,0,32,32,817.3107013702394,749.8533630371094,571.6317138671875,1286.3814697265625
0,UNIFORM_8,2048,residual_scale_minimum,32,32,0,32,0,,,,
0,UNIFORM_8,2048,residual_scale_maximum,32,32,0,32,0,,,,
0,UNIFORM_8,2048,self_writeback_mse,32,32,0,32,32,0.5104861298228222,0.48655317436614276,0.269458080787507,1.0285335787135543
0,UNIFORM_8,2048,projection_leakage_mse,32,32,0,32,32,0.0,0.0,0.0,0.0
0,UNIFORM_8,2048,native_state_error_l2,32,32,0,32,32,1218.5038454955165,1214.8140869634944,1039.4518058246736,1376.9474922764157
0,UNIFORM_8,2048,native_state_error_mse,32,32,0,32,32,485.41233916959624,480.3989546702617,351.71225801828615,617.1824207312206
0,UNIFORM_8,2048,fp64_shadow_error_l2,32,32,0,32,32,1218.503868388669,1214.8139657976717,1039.4518856919303,1376.9474752161648
0,UNIFORM_8,2048,fp64_shadow_error_mse,32,32,0,32,32,485.41235890338714,480.3988585121766,351.7123120665722,617.1824054375556
0,UNIFORM_8,2048,gold_margin,32,32,0,32,32,-45.97574884723872,-49.293442726135254,-130.15443420410156,52.75926208496094
0,UNIFORM_8,2048,top_two_margin,32,32,0,32,32,37.29378883074969,36.91555213928223,4.830448627471924,67.81077766418457
0,UNIFORM_5,128,state_norm,32,32,30,2,32,1562.8049794862493,1569.0913643291506,1352.9188463213238,1792.9731320316819
0,UNIFORM_5,128,residual_norm,32,32,30,2,32,0.0,0.0,0.0,0.0
0,UNIFORM_5,128,native_state_norm,32,32,30,2,32,1340.7897535312188,1342.5264864307337,1120.6377605058806,1545.94361977141
0,UNIFORM_5,128,fp64_shadow_state_norm,32,32,30,2,32,1340.7897416148594,1342.5265002864448,1120.6377585923672,1545.9436090767683
0,UNIFORM_5,128,state_scale_minimum,32,32,30,2,32,2.9844909192888736e-05,2.6152963982895017e-05,1.697539846645668e-05,5.332427463144995e-05
0,UNIFORM_5,128,state_scale_maximum,32,32,30,2,32,229.90777587890628,225.463623046875,159.41664123535156,377.8791809082031
0,UNIFORM_5,128,residual_scale_minimum,32,32,30,2,0,,,,
0,UNIFORM_5,128,residual_scale_maximum,32,32,30,2,0,,,,
0,UNIFORM_5,128,self_writeback_mse,32,32,30,2,32,3.2327266638521306,3.061137404753575,1.9595653514150222,5.334522299188735
0,UNIFORM_5,128,projection_leakage_mse,32,32,30,2,32,0.0,0.0,0.0,0.0
0,UNIFORM_5,128,native_state_error_l2,32,32,30,2,32,802.8286823672989,800.8799555973443,681.3007883058796,941.1376672883913
0,UNIFORM_5,128,native_state_error_mse,32,32,30,2,32,210.79489471487284,208.79190026406428,151.0972539538453,288.3268583297639
0,UNIFORM_5,128,fp64_shadow_error_l2,32,32,30,2,32,802.8286855210101,800.879962938879,681.3008094294519,941.1376779652926
0,UNIFORM_5,128,fp64_shadow_error_mse,32,32,30,2,32,210.79489629362158,208.79190409172548,151.09726332331581,288.32686487171316
0,UNIFORM_5,128,gold_margin,32,32,30,2,32,53.86106621474027,55.30013561248779,26.230175256729126,77.33553314208984
0,UNIFORM_5,128,top_two_margin,32,32,30,2,32,53.86106621474027,55.30013561248779,26.230175256729126,77.33553314208984
0,UNIFORM_5,512,state_norm,32,32,0,32,32,3928.087684121041,3918.6427868857822,3364.8876079831375,4454.068892356035
0,UNIFORM_5,512,residual_norm,32,32,0,32,32,0.0,0.0,0.0,0.0
0,UNIFORM_5,512,native_state_norm,32,32,0,32,32,2329.6587712861233,2345.1746159019744,2117.446058274274,2556.584364323196
0,UNIFORM_5,512,fp64_shadow_state_norm,32,32,0,32,32,2329.6587970594574,2345.1746684826976,2117.4461943085635,2556.584311147727
0,UNIFORM_5,512,state_scale_minimum,32,32,0,32,32,8.948076595061139e-05,8.277454253402539e-05,5.9819063608301803e-05,0.0001445967936888337
0,UNIFORM_5,512,state_scale_maximum,32,32,0,32,32,488.7709579467773,480.6252136230469,340.6155090332031,696.0848388671875
0,UNIFORM_5,512,residual_scale_minimum,32,32,0,32,0,,,,
0,UNIFORM_5,512,residual_scale_maximum,32,32,0,32,0,,,,
0,UNIFORM_5,512,self_writeback_mse,32,32,0,32,32,14.262031732585477,14.707495935286545,8.704675845368865,25.987227951574685
0,UNIFORM_5,512,projection_leakage_mse,32,32,0,32,32,0.0,0.0,0.0,0.0
0,UNIFORM_5,512,native_state_error_l2,32,32,0,32,32,3153.3092456385557,3189.4663013133095,2589.3656898406603,3675.8708633473207
