model_seed,arm,period,metric,N_sequences,eligible_sample_writes,contributing_sequences,valid_sample_writes,mean_of_sequence_means,mean,median,minimum,maximum
0,LOWRANK_4_8_R2,before_first_failure,state_norm,32,9178,32,9178,2797.557350543491,3070.672683805407,2476.5519538509557,285.2011671221639,14418.137573658245
0,LOWRANK_4_8_R2,before_first_failure,residual_norm,32,9178,32,9178,138.39607771461064,150.3877947101047,123.4176640082089,25.73964367001263,684.440946690017
0,LOWRANK_4_8_R2,before_first_failure,native_state_norm,32,9178,32,9178,1307.7687436953413,1357.7392276044186,1403.0551039403963,279.72061155088096,2256.762514240102
0,LOWRANK_4_8_R2,before_first_failure,fp64_shadow_state_norm,32,9178,32,9178,1307.7687392938603,1357.7392227352364,1403.0550677359042,279.72061150704553,2256.7625498811203
0,LOWRANK_4_8_R2,before_first_failure,state_scale_minimum,32,9178,32,9178,3.83547800071578e-05,4.072684648382219e-05,3.408535849303007e-05,2.1456054710711214e-09,0.0001212928254972212
0,LOWRANK_4_8_R2,before_first_failure,state_scale_maximum,32,9178,32,9178,332.42963787295815,360.52576557507723,297.6228790283203,88.48998260498047,1560.9097900390625
0,LOWRANK_4_8_R2,before_first_failure,residual_scale_minimum,32,9178,32,9178,9.403707338650357e-07,9.880575444661094e-07,2.2987539693986037e-07,1.1630646966354075e-11,9.951746505976189e-06
0,LOWRANK_4_8_R2,before_first_failure,residual_scale_maximum,32,9178,32,9178,32.550778341689245,35.412888427527804,28.500237464904785,6.255187034606934,178.6933135986328
0,LOWRANK_4_8_R2,before_first_failure,self_writeback_mse,32,9178,32,9178,37.817361851138756,45.214911153406845,20.294581290956522,0.3246677750726151,944.2961512309938
0,LOWRANK_4_8_R2,before_first_failure,projection_leakage_mse,32,9178,32,9178,37.817128384266816,45.21463355660411,20.29443919087076,0.32465891088791604,944.2920576070543
0,LOWRANK_4_8_R2,before_first_failure,native_state_error_l2,32,9178,32,9178,2357.107473305567,2631.640548088471,1987.8522616491855,63.093500554789344,14223.749423339055
0,LOWRANK_4_8_R2,before_first_failure,native_state_error_mse,32,9178,32,9178,3232.6438789143144,3982.8164905448,1286.3140603662612,1.2958300170108086,65857.76290948507
0,LOWRANK_4_8_R2,before_first_failure,fp64_shadow_error_l2,32,9178,32,9178,2357.1074735274183,2631.6405482331343,1987.8522622256655,63.09350031100365,14223.749439994448
0,LOWRANK_4_8_R2,before_first_failure,fp64_shadow_error_mse,32,9178,32,9178,3232.6438786824,3982.81648921523,1286.314061112684,1.2958300069969462,65857.76306371822
