model_seed,arm,metric,valid_sample_writes,maximum,sample_index,sample_id,write_position,first_failure_tau,is_BOS,at_or_after_first_failure,strictly_after_first_failure
1,LOWRANK_4_8_R2,state_norm,65568,1515136279.8510985,6,S3:DEV:40101:000006,2048,65,False,True,True
1,LOWRANK_4_8_R2,residual_norm,65568,84910353.11452433,14,S3:DEV:40101:000014,2046,266,False,True,True
1,LOWRANK_4_8_R2,native_state_error_l2,65568,1515136307.7046344,6,S3:DEV:40101:000006,2048,65,False,True,True
1,LOWRANK_4_8_R2,fp64_shadow_error_l2,65568,1515136307.7045746,6,S3:DEV:40101:000006,2048,65,False,True,True
1,LOWRANK_4_8_R2,self_writeback_mse,65568,14216960934458.547,6,S3:DEV:40101:000006,2042,65,False,True,True
1,LOWRANK_4_8_R2,projection_leakage_mse,65568,14216919917225.334,6,S3:DEV:40101:000006,2042,65,False,True,True
1,MIXED_5_6_BUDGET,state_norm,65568,12432.650092863072,26,S3:DEV:40101:000026,2048,398,False,True,True
1,MIXED_5_6_BUDGET,residual_norm,65568,0.0,0,S3:DEV:40101:000000,0,142,True,False,False
1,MIXED_5_6_BUDGET,native_state_error_l2,65568,12293.979966874615,26,S3:DEV:40101:000026,2048,398,False,True,True
1,MIXED_5_6_BUDGET,fp64_shadow_error_l2,65568,12293.979888363312,26,S3:DEV:40101:000026,2048,398,False,True,True
1,MIXED_5_6_BUDGET,self_writeback_mse,65568,109.99584523420353,26,S3:DEV:40101:000026,2048,398,False,True,True
1,MIXED_5_6_BUDGET,projection_leakage_mse,65568,0.0,0,S3:DEV:40101:000000,0,142,True,False,False
2,NATIVE_FP32,state_norm,65568,2354.3559204497305,18,S3:DEV:40101:000018,2040,171,False,True,True
2,NATIVE_FP32,residual_norm,65568,0.0,0,S3:DEV:40101:000000,0,339,True,False,False
2,NATIVE_FP32,native_state_error_l2,65568,0.0,0,S3:DEV:40101:000000,0,339,True,False,False
2,NATIVE_FP32,fp64_shadow_error_l2,65568,0.004423003645222609,29,S3:DEV:40101:000029,2047,243,False,True,True
2,NATIVE_FP32,self_writeback_mse,65568,0.0,0,S3:DEV:40101:000000,0,339,True,False,False
2,NATIVE_FP32,projection_leakage_mse,65568,0.0,0,S3:DEV:40101:000000,0,339,True,False,False
2,UNIFORM_8,state_norm,65568,2405.602755623965,18,S3:DEV:40101:000018,2040,171,False,True,True
2,UNIFORM_8,residual_norm,65568,0.0,0,S3:DEV:40101:000000,0,339,True,False,False
2,UNIFORM_8,native_state_error_l2,65568,617.8125464839123,5,S3:DEV:40101:000005,2048,222,False,True,True
2,UNIFORM_8,fp64_shadow_error_l2,65568,617.8126501334643,5,S3:DEV:40101:000005,2048,222,False,True,True
2,UNIFORM_8,self_writeback_mse,65568,0.24334028029901672,18,S3:DEV:40101:000018,1857,171,False,True,True
2,UNIFORM_8,projection_leakage_mse,65568,0.0,0,S3:DEV:40101:000000,0,339,True,False,False
2,UNIFORM_5,state_norm,65568,17563.422842981916,14,S3:DEV:40101:000014,2048,118,False,True,True
2,UNIFORM_5,residual_norm,65568,0.0,0,S3:DEV:40101:000000,0,198,True,False,False
2,UNIFORM_5,native_state_error_l2,65568,17501.77158752468,14,S3:DEV:40101:000014,2048,118,False,True,True
2,UNIFORM_5,fp64_shadow_error_l2,65568,17501.771547377808,14,S3:DEV:40101:000014,2048,118,False,True,True
2,UNIFORM_5,self_writeback_mse,65568,411.7943077820873,14,S3:DEV:40101:000014,2039,118,False,True,True
2,UNIFORM_5,projection_leakage_mse,65568,0.0,0,S3:DEV:40101:000000,0,198,True,False,False
