phase,model_seed,arm,n_sequences,source_family_size,joint_family_size,source_failure_upper_bound,source_json_sha256,horizon,first_failures,failure_probability,survival_probability,failure_upper_bound,survival_lower_bound
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,FULL_RESIDUAL_4_FP32,512,546,630,1.0,defcee98fa50a477fb5125234c0e04b9966f450c9b3f18a9245ae991abd882cd,2048,512,1.0,0.0,1.0,0.0
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,LOWRANK_4_8_R1,512,546,630,0.017996927961500465,dd673747124ad02ce1ee701bafd79ec3eaab23ea1a17670dca4a75d5cd48a023,32,0,0.0,1.0,0.018271353414420138,0.9817286465855799
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,LOWRANK_4_8_R1,512,546,630,0.017996927961500465,dd673747124ad02ce1ee701bafd79ec3eaab23ea1a17670dca4a75d5cd48a023,64,0,0.0,1.0,0.018271353414420138,0.9817286465855799
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,LOWRANK_4_8_R1,512,546,630,0.22356202304088746,dd673747124ad02ce1ee701bafd79ec3eaab23ea1a17670dca4a75d5cd48a023,128,80,0.15625,0.84375,0.22424860165874044,0.7757513983412596
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,LOWRANK_4_8_R1,512,546,630,0.8583286954228492,dd673747124ad02ce1ee701bafd79ec3eaab23ea1a17670dca4a75d5cd48a023,256,408,0.796875,0.203125,0.8588518313256011,0.14114816867439894
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,LOWRANK_4_8_R1,512,546,630,1.0,dd673747124ad02ce1ee701bafd79ec3eaab23ea1a17670dca4a75d5cd48a023,512,512,1.0,0.0,1.0,0.0
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,LOWRANK_4_8_R1,512,546,630,1.0,dd673747124ad02ce1ee701bafd79ec3eaab23ea1a17670dca4a75d5cd48a023,1024,512,1.0,0.0,1.0,0.0
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,LOWRANK_4_8_R1,512,546,630,1.0,dd673747124ad02ce1ee701bafd79ec3eaab23ea1a17670dca4a75d5cd48a023,2048,512,1.0,0.0,1.0,0.0
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,LOWRANK_4_8_R2,512,546,630,0.017996927961500465,ccaf56039db2beff7fb3a7fd18d02495a2ca4410815b0e25bbfd74b84c417911,32,0,0.0,1.0,0.018271353414420138,0.9817286465855799
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,LOWRANK_4_8_R2,512,546,630,0.022904422082748174,ccaf56039db2beff7fb3a7fd18d02495a2ca4410815b0e25bbfd74b84c417911,64,1,0.001953125,0.998046875,0.023200652646458316,0.9767993473535417
