phase,model_seed,arm,source_kind,source_family_size,joint_family_size,execution_status,per_stream_bytes,shared_bytes,rmst,final_survival,source_json,source_json_sha256,additional_complete_call_timing,n_sequences,max_horizon,observed_failures,right_censored_sequences,final_failure_probability,empirical_T05,empirical_T05_status,supported_T05,supported_T05_status,empirical_T01,empirical_T01_status,supported_T01,supported_T01_status,total_bytes_N1,amortized_bytes_N1,total_bytes_N16,amortized_bytes_N16,total_bytes_N128,amortized_bytes_N128
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_6_8_TOP1,supplement,630,630,COMPLETE,2408,30031,273.408203125,0.0,supplement_seed0/TEST/MIXED_6_8_TOP1.json,a8293492b2feae01420fa2a7c2158fae74292a166e9cfcd38c8aa2354e7fdda4,NOT_MEASURED,512,2048,512,0,1.0,128,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,32439,32439.0,68559,4284.9375,338255,2642.6171875
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_6_8_TOP4,supplement,630,630,COMPLETE,2552,30031,283.775390625,0.0,supplement_seed0/TEST/MIXED_6_8_TOP4.json,5634fdc7e3a49c16c560b8bfaef3210a18bf6e51331f2b98444cb8e095e8e208,NOT_MEASURED,512,2048,512,0,1.0,128,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,32583,32583.0,70863,4428.9375,356687,2786.6171875
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,NATIVE_FP32,original,546,630,COMPLETE,12296,29410,283.099609375,0.0,original_seed0/TEST/NATIVE_FP32.json,e0bca20dcc18f266c858757eb1fc0eb221e6127ed04b34dd4e390f8822adcb93,NOT_MEASURED,512,2048,512,0,1.0,128,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,41706,41706.0,226146,14134.125,1603298,12525.765625
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,STOCHASTIC_4,original,546,630,COMPLETE,1608,29678,80.123046875,0.0,original_seed0/TEST/STOCHASTIC_4.json,4fb0dd3414cc4affb2020cd482e337edd2ed7dc3698605e76c2e7828b2066ffd,NOT_MEASURED,512,2048,512,0,1.0,32,largest qualifying empirical sample grid horizon,32,simultaneous confidence-supported lower bound >= 32,,no qualifying grid horizon (<32); not a measured zero horizon,,no qualifying grid horizon (<32); not a measured zero horizon,31286,31286.0,55406,3462.875,235502,1839.859375
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,UNIFORM_10,original,546,630,COMPLETE,3896,29627,283.822265625,0.0,original_seed0/TEST/UNIFORM_10.json,4f371bf745278051b9ecabf1f0e422a2d6f5d33b16117c01594710026eb11267,NOT_MEASURED,512,2048,512,0,1.0,128,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,33523,33523.0,91963,5747.6875,528315,4127.4609375
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,UNIFORM_11,original,546,630,COMPLETE,4280,29627,282.34765625,0.0,original_seed0/TEST/UNIFORM_11.json,d26a66e069a77d5a4a21974d65f97e2c0796b2fc96527006b39eb81406f01867,NOT_MEASURED,512,2048,512,0,1.0,128,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,33907,33907.0,98107,6131.6875,577467,4511.4609375
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,UNIFORM_12,original,546,630,COMPLETE,4664,29627,282.982421875,0.0,original_seed0/TEST/UNIFORM_12.json,a7339aba82a52e1980efed92cd2364c585802ce15c4e4dc2cf9280587cd22f4c,NOT_MEASURED,512,2048,512,0,1.0,128,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,34291,34291.0,104251,6515.6875,626619,4895.4609375
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,UNIFORM_13,original,546,630,COMPLETE,5048,29627,283.041015625,0.0,original_seed0/TEST/UNIFORM_13.json,0ec4b9c5ececb2e5d412ad39b2705d1bf59083b91e7629f69ad18f2dec64492d,NOT_MEASURED,512,2048,512,0,1.0,128,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,34675,34675.0,110395,6899.6875,675771,5279.4609375
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,UNIFORM_14,original,546,630,COMPLETE,5432,29627,283.125,0.0,original_seed0/TEST/UNIFORM_14.json,7ec11fcdaf29caa21a47b723efabdc7a40afb582fc2b69495c543515e5a9c5d4,NOT_MEASURED,512,2048,512,0,1.0,128,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,35059,35059.0,116539,7283.6875,724923,5663.4609375
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,UNIFORM_15,original,546,630,COMPLETE,5816,29627,282.8125,0.0,original_seed0/TEST/UNIFORM_15.json,a6b5f5df4acca2ca7adb8efa49598a1da393dae48e1d7e63150e34d6df75b717,NOT_MEASURED,512,2048,512,0,1.0,128,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,35443,35443.0,122683,7667.6875,774075,6047.4609375
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,UNIFORM_16,original,546,630,COMPLETE,6200,29627,283.099609375,0.0,original_seed0/TEST/UNIFORM_16.json,5aa22cdd63f2419dedfce7aa3d63d771ee2b8b3ea85108b058d5c109d8d24256,NOT_MEASURED,512,2048,512,0,1.0,128,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,35827,35827.0,128827,8051.6875,823227,6431.4609375
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,UNIFORM_2,original,546,630,NONFINITE_ROWS_ABSORBED,824,29626,7.962890625,0.0,original_seed0/TEST/UNIFORM_2.json,c1f092699a0dcdba243a34e2132912f388770cbd7a35a9738c053ed451f59c6f,NOT_MEASURED,512,2048,512,0,1.0,,no qualifying grid horizon (<32); not a measured zero horizon,,no qualifying grid horizon (<32); not a measured zero horizon,,no qualifying grid horizon (<32); not a measured zero horizon,,no qualifying grid horizon (<32); not a measured zero horizon,30450,30450.0,42810,2675.625,135098,1055.453125
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,UNIFORM_3,original,546,630,NONFINITE_ROWS_ABSORBED,1208,29626,50.783203125,0.0,original_seed0/TEST/UNIFORM_3.json,ea90ece33f6c5123790a272c5a9826126928d1253d98c87889fce66fd7ff109a,NOT_MEASURED,512,2048,512,0,1.0,,no qualifying grid horizon (<32); not a measured zero horizon,,no qualifying grid horizon (<32); not a measured zero horizon,,no qualifying grid horizon (<32); not a measured zero horizon,,no qualifying grid horizon (<32); not a measured zero horizon,30834,30834.0,48954,3059.625,184250,1439.453125
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,UNIFORM_4,original,546,630,COMPLETE,1592,29626,147.93359375,0.0,original_seed0/TEST/UNIFORM_4.json,43456578878df7cc3cdaf4b452dd3dee8f9c75cedf75a2f2dd068e3267fb350b,NOT_MEASURED,512,2048,512,0,1.0,64,largest qualifying empirical sample grid horizon,32,simultaneous confidence-supported lower bound >= 32,32,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,31218,31218.0,55098,3443.625,233402,1823.453125
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,UNIFORM_5,original,546,630,COMPLETE,1976,29626,235.82421875,0.0,original_seed0/TEST/UNIFORM_5.json,28a63b3bcfb341acad0bcfb5eb6ebb7d4753d2373eca6a2f3d9e120391b25b26,NOT_MEASURED,512,2048,512,0,1.0,64,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,31602,31602.0,61242,3827.625,282554,2207.453125
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,UNIFORM_6,original,546,630,COMPLETE,2360,29626,273.939453125,0.0,original_seed0/TEST/UNIFORM_6.json,042899ac254c056dcebb416c0240983d5ce1cbc3dfae38145bf8c976c8bec584,NOT_MEASURED,512,2048,512,0,1.0,128,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,31986,31986.0,67386,4211.625,331706,2591.453125
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,UNIFORM_7,original,546,630,COMPLETE,2744,29626,282.333984375,0.0,original_seed0/TEST/UNIFORM_7.json,51d3ab72117ce923eb5d3ddf30d904222c8d4da963492883dc9f6b30eae29058,NOT_MEASURED,512,2048,512,0,1.0,128,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,32370,32370.0,73530,4595.625,380858,2975.453125
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,UNIFORM_8,original,546,630,COMPLETE,3128,29626,283.435546875,0.0,original_seed0/TEST/UNIFORM_8.json,a1ef414ff1c797757b086e266dfa748ed98d4a5af7169ef2ebcc6c5a704fa520,NOT_MEASURED,512,2048,512,0,1.0,128,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,32754,32754.0,79674,4979.625,430010,3359.453125
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,UNIFORM_9,original,546,630,COMPLETE,3512,29626,284.83203125,0.0,original_seed0/TEST/UNIFORM_9.json,511e9c8be2f03dce301769beadd89a8b9d83458ef8e2ac988f04803fef528c02,NOT_MEASURED,512,2048,512,0,1.0,128,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,33138,33138.0,85818,5363.625,479162,3743.453125
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,UNTRANSPORTED_4_4,original,546,630,COMPLETE,3176,29936,84.509765625,0.0,original_seed0/TEST/UNTRANSPORTED_4_4.json,5cb3460c19ec1d12f853e12c3377bc59ade75c5dbd857a0a6a192224ec03a657,NOT_MEASURED,512,2048,512,0,1.0,32,largest qualifying empirical sample grid horizon,32,simultaneous confidence-supported lower bound >= 32,,no qualifying grid horizon (<32); not a measured zero horizon,,no qualifying grid horizon (<32); not a measured zero horizon,33112,33112.0,80752,5047.0,436464,3409.875
POST_HOC_BUDGET_AUDIT_SAME_TEST,1,FULL_RESIDUAL_4_4,original,546,630,COMPLETE,3176,29934,270.021484375,0.0,original_seed1/TEST/FULL_RESIDUAL_4_4.json,a6e5ed66efa593a5c276cf3f17a2021fb5b19c064201df87c3511365f0c5c2ae,NOT_MEASURED,512,2048,512,0,1.0,64,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,33110,33110.0,80750,5046.875,436462,3409.859375
POST_HOC_BUDGET_AUDIT_SAME_TEST,1,FULL_RESIDUAL_4_8,original,546,630,COMPLETE,4712,29934,271.46875,0.0,original_seed1/TEST/FULL_RESIDUAL_4_8.json,5461fdcde3de881d021039ca2b4c9bdb6a03b29988a99bb9296fab942801c056,NOT_MEASURED,512,2048,512,0,1.0,64,largest qualifying empirical sample grid horizon,64,simultaneous confidence-supported lower bound >= 64,64,largest qualifying empirical sample grid horizon,,no qualifying grid horizon (<32); not a measured zero horizon,34646,34646.0,105326,6582.875,633070,4945.859375
