model_seed,pair_index,candidate,baseline,N,RMST0_delta,pointwise_95_CI_low,pointwise_95_CI_high,positive_difference_sequences,negative_difference_sequences,bootstrap_seed,bootstrap_repeats,checkpoint_pooling,interval_scope
0,0,LOWRANK_4_8_R2,MIXED_5_6_BUDGET,1024,9.2724609375,1.0679199218750002,17.352441406249987,501,496,60101,5000,False,pointwise paired RMST bootstrap; not a multiple-comparison confirmatory claim
0,1,LOWRANK_4_8_R2,UNIFORM_5,1024,34.623046875,26.25654296875,43.02966308593749,596,407,60102,5000,False,pointwise paired RMST bootstrap; not a multiple-comparison confirmatory claim
0,2,UNIFORM_8,NATIVE_FP32,1024,-0.4482421875,-2.644677734375,1.8496582031249993,142,153,60103,5000,False,pointwise paired RMST bootstrap; not a multiple-comparison confirmatory claim
1,0,LOWRANK_4_8_R2,MIXED_5_6_BUDGET,1024,-20.76171875,-27.4133056640625,-14.204980468750001,420,557,60201,5000,False,pointwise paired RMST bootstrap; not a multiple-comparison confirmatory claim
1,1,LOWRANK_4_8_R2,UNIFORM_5,1024,-0.37890625,-7.1250732421875,6.240551757812495,527,464,60202,5000,False,pointwise paired RMST bootstrap; not a multiple-comparison confirmatory claim
1,2,UNIFORM_8,NATIVE_FP32,1024,0.416015625,-2.14169921875,3.0128173828124982,165,171,60203,5000,False,pointwise paired RMST bootstrap; not a multiple-comparison confirmatory claim
2,0,LOWRANK_4_8_R2,MIXED_5_6_BUDGET,1024,4.9091796875,0.7782958984375,8.93525390624999,515,435,60301,5000,False,pointwise paired RMST bootstrap; not a multiple-comparison confirmatory claim
2,1,LOWRANK_4_8_R2,UNIFORM_5,1024,12.8310546875,8.809228515625,17.0029296875,559,384,60302,5000,False,pointwise paired RMST bootstrap; not a multiple-comparison confirmatory claim
2,2,UNIFORM_8,NATIVE_FP32,1024,-0.787109375,-1.9961181640625,0.37600097656249964,93,117,60303,5000,False,pointwise paired RMST bootstrap; not a multiple-comparison confirmatory claim
